cid,majorCategory,crimeCount,borough
1,Burglary,83,Bexley
2,Criminal Damage,140,Bexley
3,Drugs,35,Bexley
4,Fraud & Forgery,2,Bexley
5,Other Notifiable Offences,24,Bexley
6,Robbery,16,Bexley
7,Sexual Offences,22,Bexley
8,Theft & Handling,368,Bexley
9,Violence Against The Person,396,Bexley
