cid,majorCategory,crimeCount,borough
1,Burglary,200,Greenwich
2,Criminal Damage,275,Greenwich
3,Drugs,74,Greenwich
4,Fraud & Forgery,5,Greenwich
5,Other Notifiable Offences,41,Greenwich
6,Robbery,34,Greenwich
7,Sexual Offences,40,Greenwich
8,Theft & Handling,735,Greenwich
9,Violence Against The Person,683,Greenwich
