cid,majorCategory,crimeCount,borough
1,Burglary,175,Lewisham
2,Criminal Damage,188,Lewisham
3,Drugs,102,Lewisham
4,Fraud & Forgery,3,Lewisham
5,Other Notifiable Offences,46,Lewisham
6,Robbery,53,Lewisham
7,Sexual Offences,51,Lewisham
8,Theft & Handling,551,Lewisham
9,Violence Against The Person,676,Lewisham
