cid,majorCategory,crimeCount,borough
1,Burglary,153,Merton
2,Criminal Damage,99,Merton
3,Drugs,38,Merton
4,Fraud & Forgery,4,Merton
5,Other Notifiable Offences,17,Merton
6,Robbery,20,Merton
7,Sexual Offences,13,Merton
8,Theft & Handling,382,Merton
9,Violence Against The Person,325,Merton
