cid,majorCategory,crimeCount,borough
1,Burglary,283,Westminster
2,Criminal Damage,171,Westminster
3,Drugs,129,Westminster
4,Fraud & Forgery,18,Westminster
5,Other Notifiable Offences,57,Westminster
6,Robbery,137,Westminster
7,Sexual Offences,86,Westminster
8,Theft & Handling,2368,Westminster
9,Violence Against The Person,943,Westminster
