cid,majorCategory,crimeCount,borough
1,Burglary,212,Haringey
2,Criminal Damage,168,Haringey
3,Drugs,94,Haringey
4,Fraud & Forgery,3,Haringey
5,Other Notifiable Offences,32,Haringey
6,Robbery,129,Haringey
7,Sexual Offences,48,Haringey
8,Theft & Handling,902,Haringey
9,Violence Against The Person,646,Haringey
