cid,majorCategory,crimeCount,borough
1,Burglary,204,Enfield
2,Criminal Damage,155,Enfield
3,Drugs,61,Enfield
4,Fraud & Forgery,5,Enfield
5,Other Notifiable Offences,38,Enfield
6,Robbery,73,Enfield
7,Sexual Offences,57,Enfield
8,Theft & Handling,659,Enfield
9,Violence Against The Person,547,Enfield
