cid,majorCategory,crimeCount,borough
1,Burglary,205,Harrow
2,Criminal Damage,92,Harrow
3,Drugs,22,Harrow
4,Fraud & Forgery,1,Harrow
5,Other Notifiable Offences,19,Harrow
6,Robbery,22,Harrow
7,Sexual Offences,21,Harrow
8,Theft & Handling,342,Harrow
9,Violence Against The Person,317,Harrow
