cid,majorCategory,crimeCount,borough
1,Burglary,112,Kensington and Chelsea
2,Criminal Damage,79,Kensington and Chelsea
3,Drugs,125,Kensington and Chelsea
4,Fraud & Forgery,8,Kensington and Chelsea
5,Other Notifiable Offences,32,Kensington and Chelsea
6,Robbery,40,Kensington and Chelsea
7,Sexual Offences,21,Kensington and Chelsea
8,Theft & Handling,774,Kensington and Chelsea
9,Violence Against The Person,331,Kensington and Chelsea
