cid,majorCategory,crimeCount,borough
1,Burglary,181,Havering
2,Criminal Damage,153,Havering
3,Drugs,37,Havering
4,Fraud & Forgery,2,Havering
5,Other Notifiable Offences,19,Havering
6,Robbery,43,Havering
7,Sexual Offences,38,Havering
8,Theft & Handling,502,Havering
9,Violence Against The Person,543,Havering
