cid,majorCategory,crimeCount,borough
1,Burglary,295,Barnet
2,Criminal Damage,172,Barnet
3,Drugs,57,Barnet
4,Fraud & Forgery,0,Brent
5,Other Notifiable Offences,32,Barnet
6,Robbery,35,Barnet
7,Sexual Offences,56,Barnet
8,Theft & Handling,795,Barnet
9,Violence Against The Person,619,Barnet
