cid,majorCategory,crimeCount,borough
1,Burglary,160,Richmond upon Thames
2,Criminal Damage,111,Richmond upon Thames
3,Drugs,27,Richmond upon Thames
4,Fraud & Forgery,0,Bexley
5,Other Notifiable Offences,8,Richmond upon Thames
6,Robbery,12,Richmond upon Thames
7,Sexual Offences,27,Richmond upon Thames
8,Theft & Handling,337,Richmond upon Thames
9,Violence Against The Person,236,Richmond upon Thames
