cid,majorCategory,crimeCount,borough
1,Burglary,229,Bromley
2,Criminal Damage,160,Bromley
3,Drugs,49,Bromley
4,Fraud & Forgery,9,Bromley
5,Other Notifiable Offences,44,Bromley
6,Robbery,42,Bromley
7,Sexual Offences,36,Bromley
8,Theft & Handling,608,Bromley
9,Violence Against The Person,548,Bromley
