cid,majorCategory,crimeCount,borough
1,Burglary,143,Barking and Dagenham
2,Criminal Damage,132,Barking and Dagenham
3,Drugs,64,Barking and Dagenham
4,Fraud & Forgery,2,Barking and Dagenham
5,Other Notifiable Offences,24,Barking and Dagenham
6,Robbery,32,Barking and Dagenham
7,Sexual Offences,45,Barking and Dagenham
8,Theft & Handling,496,Barking and Dagenham
9,Violence Against The Person,436,Barking and Dagenham
