cid,majorCategory,crimeCount,borough
1,Burglary,226,Hillingdon
2,Criminal Damage,218,Hillingdon
3,Drugs,58,Hillingdon
4,Fraud & Forgery,4,Hillingdon
5,Other Notifiable Offences,28,Hillingdon
6,Robbery,44,Hillingdon
7,Sexual Offences,43,Hillingdon
8,Theft & Handling,715,Hillingdon
9,Violence Against The Person,547,Hillingdon
