cid,majorCategory,crimeCount,borough
1,Burglary,193,Wandsworth
2,Criminal Damage,116,Wandsworth
3,Drugs,47,Wandsworth
4,Fraud & Forgery,4,Wandsworth
5,Other Notifiable Offences,27,Wandsworth
6,Robbery,42,Wandsworth
7,Sexual Offences,53,Wandsworth
8,Theft & Handling,797,Wandsworth
9,Violence Against The Person,551,Wandsworth
