cid,majorCategory,crimeCount,borough
1,Burglary,257,Tower Hamlets
2,Criminal Damage,188,Tower Hamlets
3,Drugs,93,Tower Hamlets
4,Fraud & Forgery,5,Tower Hamlets
5,Other Notifiable Offences,65,Tower Hamlets
6,Robbery,115,Tower Hamlets
7,Sexual Offences,45,Tower Hamlets
8,Theft & Handling,880,Tower Hamlets
9,Violence Against The Person,705,Tower Hamlets
