cid,majorCategory,crimeCount,borough
1,Burglary,177,Islington
2,Criminal Damage,148,Islington
3,Drugs,82,Islington
4,Fraud & Forgery,4,Islington
5,Other Notifiable Offences,45,Islington
6,Robbery,75,Islington
7,Sexual Offences,46,Islington
8,Theft & Handling,1125,Islington
9,Violence Against The Person,589,Islington
