cid,majorCategory,crimeCount,borough
1,Burglary,229,Croydon
2,Criminal Damage,260,Croydon
3,Drugs,151,Croydon
4,Fraud & Forgery,5,Croydon
5,Other Notifiable Offences,57,Croydon
6,Robbery,133,Croydon
7,Sexual Offences,47,Croydon
8,Theft & Handling,780,Croydon
9,Violence Against The Person,864,Croydon
