cid,majorCategory,crimeCount,borough
1,Burglary,291,Southwark
2,Criminal Damage,243,Southwark
3,Drugs,187,Southwark
4,Fraud & Forgery,5,Southwark
5,Other Notifiable Offences,37,Southwark
6,Robbery,198,Southwark
7,Sexual Offences,77,Southwark
8,Theft & Handling,954,Southwark
9,Violence Against The Person,708,Southwark
