cid,majorCategory,crimeCount,borough
1,Burglary,248,Camden
2,Criminal Damage,158,Camden
3,Drugs,95,Camden
4,Fraud & Forgery,7,Camden
5,Other Notifiable Offences,32,Camden
6,Robbery,82,Camden
7,Sexual Offences,45,Camden
8,Theft & Handling,1200,Camden
9,Violence Against The Person,588,Camden
